Attacker,NORMAL,FIRE,WATER,GRASS,ELECTRIC,FIGHTING,GHOST,PSYCHIC,POISON,BUG,GROUND,ROCK,DARK,FAIRY,STEEL,FLYING,ICE,DRAGON
NORMAL,1,1,1,1,1,1,0,1,1,1,1,0.5,1,1,0.5,1,1,1
FIRE,1,0.5,0.5,2,1,1,1,1,1,2,1,0.5,1,1,2,1,2,0.5
WATER,2,1,0.5,0.5,1,1,1,1,1,1,2,2,1,1,1,1,1,0.5
GRASS,1,0.5,2,0.5,1,1,1,1,0.5,0.5,2,2,1,1,0.5,0.5,1,0.5
ELECTRIC,1,1,2,0.5,0.5,1,1,1,1,1,0,1,1,1,1,2,1,0.5
FIGHTING,2,1,1,1,1,1,0,0.5,0.5,0.5,1,2,2,0.5,2,0.5,2,1
GHOST,0,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,1,1
PSYCHIC,1,1,1,1,1,2,1,0.5,2,1,1,1,0,1,0.5,1,1,1
POISON,1,1,1,2,1,1,0.5,1,0.5,1,0.5,0.5,1,2,0,1,1,1
BUG,1,0.5,1,2,1,0.5,0.5,2,0.5,1,1,1,2,0.5,0.5,0.5,1,1
GROUND,2,2,1,0.5,2,1,1,1,2,0.5,1,2,1,1,2,0,1,1
ROCK,1,2,1,1,1,0.5,1,1,1,2,0.5,1,1,1,0.5,2,1,2
DARK,1,1,1,1,1,0.5,2,2,1,1,1,1,0.5,0.5,1,1,1,1
FAIRY,1,0.5,1,1,1,2,1,1,0.5,1,1,1,2,1,0.5,1,1,2
STEEL,1,0.5,0.5,1,0.5,1,1,1,1,1,1,2,1,2,0.5,1,2,1
FLYING,1,1,1,2,0.5,2,1,1,1,2,1,1,1,1,0.5,2,1,1
ICE,1,0.5,0.5,2,1,1,1,1,1,1,2,1,1,1,0.5,2,1,2
DRAGON,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.5,1,1,2
